CODIGOEAN13,Tipo,Nom_Prod,Concent,Nom_Form_Farm,Nom_Form_Farm_Simplif,Presentac,Fracciones,Fec_Vcto_Reg_Sanitario,Num_RegSan,Nom_Titular
7750940195689,13,DEXACORT,0.5mg,Tableta,Tableta,Caja Tab.,30,12/18/2011,N4870,INFARMASA
7750940196419,13,AMOXICILINA,250mg/5mL,Polvo para Suspensión Oral,Suspension,Caja Fco. X 60 mL,25,3/2/2014,NG1935,INFARMASA
7750940357063,13,ESPASMO ANTALGINA,,Tableta,Tableta,Caja Tab.,120,9/14/2009,N19356,INFARMASA
7750940364948,13,CIPROFLOX,250mg/5mL,Polvo para Suspensión Oral,Suspension,Fco. X 60 mL,1,9/4/2011,N20003,INFARMASA
7750940364979,13,CEFIXIN 250,250mg,Suspensión,Suspension,Caja Fco. X 60 mL,1,2/2/2010,N19539,INFARMASA
7750940431022,13,ATENOLOL,100mg,Tableta,Tableta,Caja Tab.,100,7/5/2011,NG255,INFARMASA
7750940431251,13,DEXAMETASONA,0.5mg,Comprimido,Tableta,Caja Comp.,100,9/25/2010,NG1320,INFARMASA
7750940431329,13,LITOCARB,300mg,Tableta,Tableta,Caja Tab.,100,1/16/2011,N11767,INFARMASA
7750940431398,13,CAPTOPRIL,25mg,Tableta,Tableta,Caja Tab.,100,6/30/2014,NG2062,INFARMASA
7750940458692,13,AMOXICILINA,250mg,Cápsula,Capsula,Caja Cap.,100,2/27/2014,NG1932,INFARMASA
7750940459729,13,DICLOXAL,250mg/5mL,Suspensión,Suspension,Fco. X 60 mL,1,10/21/2011,N16170,INFARMASA
7750940459767,13,PROCAIN,1000000UI,Polvo para Suspensión Inyectable,Inyectable,Vial,10,4/29/2013,N18906,INFARMASA
7750940459798,13,QUEMICICLINA S,125mg,Tableta,Tableta,Caja Tab.,100,1/20/2014,N25489,IFARPE
7750940459828,13,AMPICILINA,500mg,Cápsula,Capsula,Caja Cap.,100,12/17/2011,NG413,INFARMASA
7750940459965,13,N FLOX,400mg,Tableta,Tableta,Caja Tab.,100,10/21/2013,N16995,INFARMASA
7750940485155,13,BIOGEN,50mg,Tableta,Tableta,Caja Tab.,30,9/18/2012,N11269,INFARMASA
7750940485186,13,CEFRADINA,500mg,Cápsula,Capsula,Caja Cap.,100,2/5/2012,NG3150,INFARMASA
7750940574200,13,CIPROFLOXACINO MAGMA,500MG,TABLETA,TABLETA,CAJA,100,,NG1791,MAGMA-SANITAS
7750940610298,13,AZO CIPROFLOX,500mg+50mg,Tableta,Tableta,Caja Tab.,48,1/10/2011,N18300,INFARMASA
7750940613282,13,DEXACORT DERMIC,,Crema,Crema,Caja Tbo. X 15 g,1,1/17/2007,N18656,MEDCO
7750940618898,13,DICLOXAL,500mg,Cápsula,Capsula,Disp. Cap.,100,5/4/2014,N15029,INFARMASA
7750940618911,13,RHINO BB,,Gotas Nasal,Solucion Nasal,15 mL,1,5/20/2011,N18455,INFARMASA
7750940619208,13,BRONCO MAGNIMOX,250mg+4mg/5mL,Suspensión Oral,Suspension,Fco. X 60 mL,1,3/31/2012,N16361,INFARMASA
7750940620433,13,BRONCO MAGNIMOX,500mg+4mg/5mL,Suspensión Oral,Suspension,Fco. X 60 mL,1,1/16/2012,N18655,INFARMASA
7750940633518,13,BRONCO MAGNIMOX,125mg+4mg/5mL,Suspensión Oral,Suspension,Fco. X 60 mL,1,3/31/2012,N16360,INFARMASA
7750940645610,13,DILATOR,10mg,Tableta,Tableta,Caja Tab.,40,1/19/2013,N2608,INFARMASA
7750940669098,13,DEXACORT,1mg,Tableta,Tableta,Caja Tab.,40,12/21/2010,N4871,INFARMASA
7750940691228,13,AB-FORTIMICIN,300mg,Polvo para Solución Inyectable,Inyectable,Vial + Solv.,1,9/21/2009,N19364,INFARMASA
7750940705574,13,PREDNISONA,5mg,Tableta,Tableta,Caja Tab.,100,1/19/2014,EG6063,AC FARMA
7750940709596,13,DIURACE,50mg,Tableta,Tableta,Caja Tab.,20,8/23/2011,N515,INFARMASA
7750940722939,13,BRONCO PENAMOX,250mg+15mg/5mL,Suspensión Oral,Suspension,Fco. X 60 mL,1,12/23/2013,N19104,INFARMASA
7750940722946,13,CEFIXIN,500mg,Tableta Recubierta,Tableta,Caja Tab.,10,2/1/2010,N19536,INFARMASA
7750940725237,13,DEXACORT,2mg/5mL,Jarabe,Solucion,Fco. X 100 mL,1,7/25/2013,N18956,INFARMASA
7750940725244,13,CLORO ALERGAN,4mg,Tableta,Tableta,Caja Tab.,100,8/31/2011,N743,INFARMASA
7750940747956,13,ANTALGINA,500mg,Tableta,Tableta,Caja Tab.,100,9/2/2011,N855,INFARMASA
7750940752882,13,GYNO DEXACORT,,Ovulo,Ovulo,Caja Ov.,6,4/8/2011,N18398,INFARMASA
7750940752899,13,LEVOFERIN,30mg/5mL,Jarabe,Solucion,Fco. X 120 mL,1,7/16/2012,N18779,INFARMASA
7750940752912,13,ANTALGINA,350mg,Supositorio,Supositorio,Caja Sup.,2,1/22/2013,N4055,INFARMASA
7750940752929,13,DIAZEPAM,5mg,Tableta,Tableta,Caja Tab.,100,11/27/2012,NG723,INFARMASA
7750940752943,13,BRONCO PENAMOX,500mg+30mg,Tableta,Tableta,Caja Tab.,100,2/1/2014,N19160,INFARMASA
7750940793588,13,DIMENHIDRINATO,50mg,Tableta,Tableta,Caja Tab.,100,3/22/2011,NG0171,INFARMASA
7750940797333,13,CARBAMAZEPINA,200mg,Tableta,Tableta,Caja Tab.,100,8/24/2010,NG1305,INFARMASA
7750940797548,13,ENALAPRIL,10mg,Tableta,Tableta,Caja Tab.,100,7/5/2011,NG256,INFARMASA
7750940797555,13,ERITROMICINA 500 MG,500MG,TABLETAS,TABLETAS,CAJA X 100,1,,NG-1934,LCG
7750940856887,13,DOLO LIVIOLEX FORTE,,Tableta,Tableta,Caja Tab.,200,11/22/2011,N20037,INFARMASA
7750942000011,13,AMBROXIL,250mg+15mg/5mL,Polvo para Suspensión Oral,Suspension,Fco. X 60 mL,1,5/7/2011,N19922,IQ FARMA
7750942000028,13,AMBROXIL,500mg+30mg,Tableta,Tableta,Caja Tab.,50,5/9/2011,N19926,IQ FARMA
7750942000035,13,DEXAMETASONA,0.5mg,Tableta,Tableta,Caja Tab.,100,8/17/2011,NG2925,IQ FARMA
7750942000042,13,DEXAMETASONA,1mg,Tableta,Tableta,Caja Tab.,100,8/13/2011,NG2916,IQ FARMA
7750942000059,13,DEXAMETASONA,4mg,Tableta,Tableta,Caja Tab.,50,8/17/2011,NG2926,IQ FARMA
7750942000066,13,DOLO FLU NF,,Tableta,Tableta,Caja Tab.,100,3/9/2010,N19583,IQ FARMA
7750942000073,13,CLORPROMAZINA,100mg,Tableta,Tableta,Caja Tab.,100,11/8/2009,NG2173,IQ FARMA
7750942000103,13,FENAZOPIRIDINA,100mg,Tableta,Tableta,Caja Tab.,100,11/12/2013,NG1840,IQ FARMA
7750942000110,13,ATENOLOL,100mg,Tableta,Tableta,Caja Tab.,100,10/7/2009,NG2140,IQ FARMA
7750942000165,13,DUODAZOL,,Ovulo,Ovulo,Caja Ov.,10,2/25/2010,N21608,IQ FARMA
7750942000172,13,CLONAZEPAM,2mg,Tableta,Tableta,Caja Tab.,100,11/4/2014,NG2165,IQ FARMA
7750942000189,13,CLONAZEPAM,0.5mg,Tableta,Tableta,Caja Tab.,100,11/22/2012,NG3518,IQ FARMA
7750942000288,13,GRAVAMIN,15mg/5mL,Suspensión Oral,Suspension,Fco. X 60 mL,1,10/3/2011,N20019,TRIFARMA
7750942000325,13,SALBUMAX,,Jarabe,Solucion,Fco. X 120 mL,1,3/18/2012,N20169,IQ FARMA
7750942000493,13,GYNOSTATIN,100000UI,Ovulo,Ovulo,Caja Ov.,16,2/25/2010,N21597,IQ FARMA
